"sl","dist_code","div_name","dist_name","thana_code","thana"
"001","01","Rangpur","Panchagarh","0101","Atwari"
"002","01","Rangpur","Panchagarh","0102","Boda"
"003","01","Rangpur","Panchagarh","0103","Debiganj"
"004","01","Rangpur","Panchagarh","0104","Panchagarh Sadar"
"005","01","Rangpur","Panchagarh","0105","Tentulia"
"006","02","Rangpur","Thakurgaon","0201","Baliadangi"
"007","02","Rangpur","Thakurgaon","0202","Haripur"
"008","02","Rangpur","Thakurgaon","0203","Pirganj"
"009","02","Rangpur","Thakurgaon","0204","Ranisankail"
"010","02","Rangpur","Thakurgaon","0205","Thakurgaon Sadar"
"011","03","Rangpur","Dinajpur","0301","Birol"
"012","03","Rangpur","Dinajpur","0302","Birampur"
"013","03","Rangpur","Dinajpur","0303","Birganj"
"014","03","Rangpur","Dinajpur","0304","Bochaganj"
"015","03","Rangpur","Dinajpur","0305","Chirirbandar"
"016","03","Rangpur","Dinajpur","0306","Dinajpur Sadar"
"017","03","Rangpur","Dinajpur","0307","Fulbari"
"018","03","Rangpur","Dinajpur","0308","Ghoraghat"
"019","03","Rangpur","Dinajpur","0309","Hakimpur"
"020","03","Rangpur","Dinajpur","0310","Kaharole"
"021","03","Rangpur","Dinajpur","0311","Khansama"
"022","03","Rangpur","Dinajpur","0312","Nawabganj"
"023","03","Rangpur","Dinajpur","0313","Parbatipur"
"024","04","Rangpur","Nilphamari","0401","Dimla"
"025","04","Rangpur","Nilphamari","0402","Domar"
"026","04","Rangpur","Nilphamari","0403","Jaldhaka"
"027","04","Rangpur","Nilphamari","0404","Kishoreganj "
"028","04","Rangpur","Nilphamari","0405","Nilphamari Sadar"
"029","04","Rangpur","Nilphamari","0406","Saidpur"
"030","05","Rangpur","Lalmonirhat","0501","Aditmari"
"031","05","Rangpur","Lalmonirhat","0502","Hatibanda"
"032","05","Rangpur","Lalmonirhat","0503","Kaliganj"
"033","05","Rangpur","Lalmonirhat","0504","Lalmonirhat Sadar"
"034","05","Rangpur","Lalmonirhat","0505","Patgram"
"035","06","Rangpur","Rangpur","0601","Rangpur Sadar"
"036","06","Rangpur","Rangpur","0604","Gangachara"
"037","06","Rangpur","Rangpur","0605","Mithapukur"
"038","06","Rangpur","Rangpur","0607","Pirgacha "
"040","06","Rangpur","Rangpur","0609","Badarganj"
"041","06","Rangpur","Rangpur","0610","Kaunia"
"042","06","Rangpur","Rangpur","0611","Pirganj"
"043","06","Rangpur","Rangpur","0612","Taraganj"
"044","07","Rangpur","Kurigram","0701","Bhurungamari"
"045","07","Rangpur","Kurigram","0702","Rajibpur"
"046","07","Rangpur","Kurigram","0703","Chilmari"
"047","07","Rangpur","Kurigram","0704","Kurigram Sadar"
"048","07","Rangpur","Kurigram","0705","Nageshwari"
"049","07","Rangpur","Kurigram","0706","Phulbari"
"050","07","Rangpur","Kurigram","0707","Rajarhat"
"051","07","Rangpur","Kurigram","0708","Raumari"
"052","07","Rangpur","Kurigram","0709","Ulipur"
"053","08","Rangpur","Gaibandha","0801","Fulchhari"
"054","08","Rangpur","Gaibandha","0802","Gaibandha Sadar"
"055","08","Rangpur","Gaibandha","0803","Gobindaganj"
