roll,total_number
201002021,16
201000600,16
201000602,16
201000624,18
201000737,17
201001052,17
201001522,19
201001566,17
201001751,14
201002143,19
201002237,18
201002478,17
201002504,17
201002514,18
201002796,18
201002833,17
201002932,18
201002935,18
201003003,16
201003528,17
201003568,18
201003572,19
201003656,14
201003662,18
201003685,19
201003849,18
201003882,17
201003893,16
201004123,17
201004187,16
201004190,18
201004314,17
201004464,18
201004465,16
201004497,17
201010880,16
201000428,16
201007057,16
201007423,17
201007503,16
201007539,17
201007650,18
201007652,16
201007664,18
201007679,18
201007941,17
201008085,17
201008114,17
201008115,17
201008188,18
201008196,18
201008349,18
201008477,17
201008612,17
201008668,17
201008831,19
201009045,17
201009131,17
201009132,16
201009301,16
201009364,18
201009985,14
201010016,17
201010244,17
201010249,18
201010252,12
201010298,17
201010336,18
201010409,17
201010429,18
201010470,18
201010495,18
201010510,17
201010815,16
201010840,16
201010846,18
201010868,16
201010875,16
201006882,19
201012022,16
201015996,17
201016065,16
201016117,16
201016174,16
201016336,16
201016338,16
201016347,16
201016362,16
201016363,17
201016373,18
201016374,16
201016415,18
201016458,16
201016497,16
201016508,18
201016516,16
201016622,16
201016642,18
201016645,18
201017051,16
201017099,16
201017125,18
201017133,17
201017134,17
201017165,17
201017190,16
201017240,16
201017306,18
201017312,17
201017322,19
201017332,17
201017335,18
201017336,18
201017393,17
201017407,17
201017412,16
201017413,17
201017421,17
201011029,16
201017750,17
201017538,18
201017574,17
201017582,17
201017733,16
201017742,16
201017747,16
201017818,17
201017838,19
201017849,16
201017879,18
201017881,17
201017933,16
201017938,17
201017957,17
201017989,16
201018037,17
201018078,16
201018120,17
201018246,17
201018275,17
201018301,18
201018331,19
201018415,17
201018595,17
201018596,19
201018676,17
201018705,17
201018804,16
201018842,16
201018843,19
201018862,19
201018873,18
201018897,19
201018924,17
201018949,19
201019005,19
201019092,19
201019120,19
201019154,19
201019214,18
201017498,19
201020671,19
201022950,19
201022989,20
201023128,20
201024890,19
201024906,17
201024909,18
201025399,19
201025640,19
201026410,18
201026418,16
201030187,18
201030452,18
201030626,17
201030639,16
201030791,18
201030826,18
201031799,18
201031924,16
201031977,18
201032009,17
201032032,17
201032051,16
201032060,16
201032102,17
201032168,16
201032191,17
201032294,16
201035873,17
201035912,16
201035953,17
201003909,16
201018723,16
201035967,17
201036013,16
201036033,16
201020239,19
201036082,17
201036146,17
201036147,18
201036152,16
201036163,16
201036166,16
201036171,17
201036183,17
201036187,16
201036278,16
201036291,16
201036314,16
201036365,17
201036367,17
201036721,18
201036779,19
201036784,16
201036786,17
201036811,16
201036822,19
201036854,18
201036859,18
201036862,16
201036915,16
201036944,16
201036947,16
201036951,17
201037017,18
201037451,16
201038039,16
201038054,16
201038133,16
201038218,17
201038244,18
201038379,17
201038381,17
201038533,18
201038546,16
201039827,16
201039835,16
201039842,16
201036069,18
201041023,16
201039871,16
201039875,17
201039882,16
201039885,16
201039898,18
201039899,17
201039929,17
201039930,16
201039936,16
201039962,16
201039963,16
201039978,16
201040022,17
201040024,18
201040062,17
201040084,17
201040086,16
201040089,16
201040130,18
201040145,17
201040148,17
201040163,17
201040181,16
201040188,16
201040189,19
201040190,19
201040198,19
201040605,16
201040778,18
201040936,16
201040981,16
201041132,17
201041170,18
201041173,18
