roll,subject_code,score
201040189,201,85
201084204,201,84
201016336,201,84
201016337,201,84
201017838,201,82
201018275,201,82
201017747,201,81
201016415,201,81
201017957,201,81
201016508,201,81
201016363,201,81
201017733,201,81
201010816,201,80
201076903,201,80
201082785,201,80
201085929,201,80
201039916,201,80
201041173,201,80
201018843,201,79
201075110,201,79
201040190,201,79
201016373,201,79
201017750,201,79
201036721,201,79
201004497,201,79
201010925,201,78
201008865,201,78
201008668,201,78
201017322,201,78
201083181,201,78
201017582,201,78
201038244,201,78
201018949,201,78
201040981,201,78
201083489,201,78
201040188,201,78
201083279,201,78
201030826,201,78
201010926,201,78
201010244,201,77
201031977,201,77
201016338,201,77
201086322,201,77
201062007,201,77
201078189,201,77
201079986,201,77
201039851,201,77
201004464,201,77
201075213,201,77
201003528,201,77
201043490,201,77
201017938,201,77
201010880,201,77
201018331,201,77
201010846,201,77
201017165,201,77
201086109,201,77
201079564,201,77
201015993,201,77
201083604,201,77
201017538,201,77
201040089,201,77
201083890,201,77
201036278,201,77
201003882,201,77
201040086,201,77
201039899,201,77
201004465,201,76
201002932,201,76
201040198,201,76
201017818,201,76
201038533,201,76
201004123,201,76
201075608,201,76
201039842,201,76
201016645,201,76
201036822,201,76
201084289,201,76
201018446,201,76
201036291,201,76
201083589,201,76
201083573,201,76
201040181,201,76
201036859,201,76
201040182,201,76
201083297,201,76
201083205,201,76
201079980,201,76
201036784,201,76
201085896,201,76
201017413,201,76
201083874,201,75
201041527,201,75
201075839,201,75
201022950,201,75
201036347,201,75
201002143,201,75
201018873,201,75
201038297,201,75
201017989,201,75
201010249,201,75
201003003,201,75
201062251,201,75
201064164,201,75
201077816,201,75
201010336,201,75
201004314,201,75
201017306,201,75
201043514,201,75
201016497,201,75
201058654,201,75
201016631,201,75
201008831,201,75
201039898,201,75
201059321,201,75
201019154,201,75
201035953,201,75
201018676,201,75
201036069,201,75
201010409,201,75
201084236,201,75
201039885,201,75
201058240,201,75
201010875,201,75
201003909,201,75
201082772,201,74
201043545,201,74
201043563,201,74
201043455,201,74
201043467,201,74
201048430,201,74
201040605,201,74
201040145,201,74
201037017,201,74
201040957,201,74
201007434,201,74
201039930,201,74
201040022,201,74
201036854,201,74
201008477,201,74
201068031,201,74
201009364,201,74
201043095,201,74
201066635,201,74
201009582,201,74
201030452,201,74
201036367,201,74
201083453,201,74
201083467,201,74
201017879,201,74
201036314,201,74
201032060,201,74
201036146,201,74
201035961,201,74
201016117,201,74
201003893,201,74
201004187,201,74
201000737,201,74
201062052,201,74
201062066,201,74
201003685,201,74
201002935,201,74
201017309,201,74
201059783,201,74
201075009,201,74
201086303,201,74
201086276,201,74
201086143,201,74
201079988,201,74
